id,nom,marque,caracteristiques,prix,Alimentation,Alimentation redondante,Appareils intégrés,Capacité,Caractéristiques,Catégorie,Compatibilité,Compatibilité TTA,Contrôleur de stockage,Contrôleur de stockage Quantité,Conçu pour,Couleur,Disponibilité de service,Dispositifs de sécurité,Disque dur,Durée totale de contrat,Format,Fourni avec,Garantie du fabricant,Hauteur (unités de rack),Interface,Lecteurs pris en charge,Lieu d'intervention,Localisation,Localisation et disposition,Nbre de licences,Nom de logiciel,Nombre de touches spéciales,Placage du connecteur,Plate-forme,Poids,Programme de ventes par le fabricant,Périphériques installés / Nbre de modules,Référence équivalente à celle du fabricant d'origine,Rétroéclairé,Service compris,Service et maintenance,Technologie de connectivité,Temps de latence,Temps de réponse,Tension,Type,Type d'emballage,Type de Produit,Type de boîtier,Type de mise à niveau,Type de mémoire,Type de tarification,Version,Vitesse,Vérification de l'Intégrité des Données
6386395,Lenovo,LENOVO,DDR4 - module - 8 Go - SO DIMM 260 broches - 3200 MHz / PC4-25600 - mémoire sans tampon - non ECC - Campus - pour ThinkBook 14 G5 IRL; ThinkCentre neo 50q Gen 4; ThinkPad E14 Gen 5; L14 Gen 4; L15 Gen 4,86.0,,,,8 Go,Mémoire sans tampon,,,,,,K14 Gen 1; ThinkBook 14 G5 IRL; 16p G2 ACH; ThinkCentre neo 50q Gen 4; ThinkPad E14 Gen 3; E14 Gen 5; E15 Gen 3; L14 Gen 2; L14 Gen 4; L15 Gen 2; L15 Gen 4; P1 Gen 4; P14s Gen 2; P15 Gen 2; P15s Gen 2; P16s Gen 1; P17 Gen 2; T14 Gen 2; T14 Gen 4; T15 Gen 2; T16 Gen 2; X1 Extreme Gen 4; V15 G2 ITL,,,,,,,,,,,,,,,,,,,,,Lenovo Campus,,Lenovo 4X71D09532,,,,,,,,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MHz (PC4-25600),Non ECC
6386396,Lenovo,LENOVO,DDR4 - module - 32 Go - SO DIMM 260 broches - 3200 MHz / PC4-25600 - mémoire sans tampon - non ECC - Campus - pour ThinkCentre M90q Gen 2; ThinkPad E14 Gen 5; L14 Gen 4; L15 Gen 4; T14 Gen 4; T16 Gen 2,311.0,,,,32 Go,Mémoire sans tampon,,,,,,ThinkCentre M70a Gen 2; M70q Gen 2; M70q Gen 3; M90a Gen 2; M90a Gen 3; M90q Gen 2; ThinkPad E14 Gen 5; L14 Gen 2; L14 Gen 4; L15 Gen 2; L15 Gen 3; L15 Gen 4; P1 Gen 4; P14s Gen 2; P14s Gen 3; P15 Gen 2; P16s Gen 1; P17 Gen 2; T14 Gen 2; T14 Gen 3; T14 Gen 4; T16 Gen 2; X1 Extreme Gen 4,,,,,,,,,,,,,,,,,,,,,Lenovo Campus,,Lenovo 4X71D09536,,,,,,,,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MHz (PC4-25600),Non ECC
7443772,HP,HP INC,"DDR5 - module - 32 Go - SO DIMM 262 broches - 4800 MHz - pour ENVY 27-cp0150nd, 27-cp0350nd, 27-cp0500nz, 27-cp0750nz, 27-cp0950nz",592.0,,,,32 Go,,,,,,,"ENVY 27-cp0150nd, 27-cp0350nd, 27-cp0500nz, 27-cp0750nz, 27-cp0950nz",,,,,,,,,,,,,Anglais / Europe,,,,,,,,,,HP 5S4C0AA,,,,,,,,,,Module mémoire,,Spécifique au système,DDR5 SDRAM - SO DIMM 262 broches,,,4800 MHz,
6195566,Integral,INTEGRAL,DDR4 - module - 16 Go - DIMM 288 broches - 2400 MHz / PC4-19200 - CL17 - 1.2 V - mémoire sans tampon - non ECC,45.9,,,,16 Go,"Deux rangs, mémoire sans tampon",,,,,,,,,,,,,,"Garantie limitée à vie (Allemagne, Autriche et France - 10 ans)",,,,,,,,,,,,,,,,,,,,CL17,,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - DIMM 288 broches,,,2400 MHz (PC4-19200),Non ECC
5096844,Micron,SUPERMICRO,DDR4 - module - 16 Go - DIMM 288 broches - 2666 MHz / PC4-21300 - CL19 - 1.2 V - enregistré avec parité - ECC,121.57,,,,16 Go,"Deux rangs, terminaison intégrée (ODT), Serial Presence Detect (SPD), seize banques, enregistré avec parité",,,,,,,,,,,,,,Garantie de 5 ans,,,,,,,,,,Or,,,,,Micron MTA18ASF2G72PDZ-2G6E1,,,,,CL19 (19-19-19),,1.2 V,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - DIMM 288 broches,,,2666 MHz (PC4-21300),ECC
7004908,Kingston Server Premier,KINGSTON,DDR4 - module - 16 Go - DIMM 288 broches - 3200 MHz / PC4-25600 - CL22 - 1.2 V - enregistré avec parité - ECC,126.6,,,,16 Go,"Surveillance de la température, deux rangs, terminaison intégrée (ODT), Serial Presence Detect (SPD), seize banques, support de Contrôle de redondance cyclique des données (CRC), enregistré avec parité",,,,,,,,,,,,,,Garantie limitée à vie (Russie - 10 ans),,,,,,,,,,Or,,,,,,,,,,CL22 (22-22-22),,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - DIMM 288 broches,,,3200 MHz (PC4-25600),ECC
7004918,Kingston Server Premier,KINGSTON,DDR4 - module - 16 Go - SO DIMM 260 broches - 2666 MHz / PC4-21300 - CL19 - 1.2 V - mémoire sans tampon - ECC,119.6,,,,16 Go,"Deux rangs, terminaison intégrée (ODT), Serial Presence Detect (SPD), seize banques, mémoire sans tampon",,,,,,,,,,,,,,Garantie limitée à vie (Russie - 10 ans),,,,,,,,,,Or,,,,,,,,,,CL19 (19-19-19),,1.2 V,,,Module mémoire,,Générique,DDR4 SDRAM - SO DIMM 260 broches,,,2666 MHz (PC4-21300),ECC
1206730,Catalyst Supervisor Engine Software 2,CISCO,(v. 8.4GLX) - version boîte - 1 switch - SSH - avec Secure Shell,261.93,,,,,,Applications de mise en réseau - gestion de systèmes et à distance,,,,,,,,,,,,Secure Shell,,,,,,,,1 switch,,,,,,,,,,,,,,,,,,Version boîte,,,,,8.4GLX,,
7807526,HPE SmartMemory,HP ENT,DDR4 - module - 16 Go - DIMM 288 broches - 3200 MHz - CL22 - 1.2 V - mémoire enregistré,357.0,,,,16 Go,"Un rang, quatre bancs, mémoire enregistré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22 (22-22-22),,1.2 V,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - DIMM 288 broches,,,3200 MHz,
7808946,HPE SmartMemory,HP ENT,DDR4 - module - 32 Go - DIMM 288 broches - 3200 MHz / PC4-25600 - CL22 - 1.2 V - mémoire enregistré,964.0,,,,32 Go,"Un rang, mémoire enregistré",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL22 (22-22-22),,1.2 V,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - DIMM 288 broches,,,3200 MHz (PC4-25600),
6372550,Supermicro,SUPERMICRO,DDR4 - module - 32 Go - DIMM 288 broches - 2933 MHz / PC4-23400 - CL21 - 1.2 V - mémoire sans tampon - ECC,317.88,,,,32 Go,"Deux rangs, mémoire sans tampon",,,,,,,,,,,,,,Garantie de 5 ans,,,,,,,,,,,,,,,,,,,,CL21,,1.2 V,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - DIMM 288 broches,,,2933 MHz (PC4-23400),ECC
8231470,DDR4 ECC RDIMM 64GB,SYNOLOGY,"DDR4 - module - 64 Go - DIMM 288 broches - mémoire enregistré - ECC - pour Synology SA3410, SA3610, SA6400; FlashStation FS3410; High Density HD6500",1275.0,,,,64 Go,Mémoire enregistré,,,,,,"Synology SA3410, SA3610, SA6400; FlashStation FS3410; High Density HD6500",,,,,,,,Garantie de 5 ans,,,,,,,,,,,,,,,,,,,,,,,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - DIMM 288 broches,,,,ECC
8322180,QNAP,QNAP,DDR4 - module - 16 Go - DIMM 288 broches - 3200 MHz / PC4-25600 - ECC,547.36,,,,16 Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Module mémoire,,Générique,DDR4 SDRAM - DIMM 288 broches,,,3200 MHz (PC4-25600),ECC
8322181,QNAP,QNAP,DDR4 - module - 32 Go - DIMM 288 broches - 3200 MHz / PC4-25600 - ECC,820.04,,,,32 Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Module mémoire,,Générique,DDR4 SDRAM - DIMM 288 broches,,,3200 MHz (PC4-25600),ECC
8322185,QNAP,QNAP,DDR4 - module - 8 Go - SO DIMM 260 broches - 3200 MHz / PC4-25600 - ECC,354.88,,,,8 Go,,,,,,,,,,,,,,,1 an de garantie,,,,,,,,,,,,,,,,,,,,,,,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - SO DIMM 260 broches,,,3200 MHz (PC4-25600),ECC
4235051,Memory DDR3L non-ECC Unbuffered SODIMM,SYNOLOGY,SYNOLOGY RAM1600DDR3L-8GBx2,256.8,,,,16 Go: 2 x 8 Go,"Basse tension, mémoire sans tampon",,,,,,"Disk Station DS1517+, DS1817+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35 V,,,Kit mémoire,,Spécifique au système,DDR3L SDRAM - SO DIMM 204 broches,,,1600 MHz (PC3L-12800),Non ECC
4235052,Memory DDR3L non-ECC Unbuffered SODIMM,SYNOLOGY,SYNOLOGY RAM1600DDR3L-4GBx2,114.0,,,,8 Go: 2 x 4 Go,"Basse tension, mémoire sans tampon",,,,,,"Disk Station DS1517+, DS1817+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35 V,,,Kit mémoire,,Spécifique au système,DDR3L SDRAM - SO DIMM 204 broches,,,1600 MHz (PC3L-12800),Non ECC
5767252,Dell,DELL,"DDR4 - module - 16 Go - DIMM 288 broches - 3200 MHz / PC4-25600 - mémoire sans tampon - non ECC - Mise à niveau - pour Alienware Aurora R11; OptiPlex 3080; Precision 3440, 3640; Vostro 3681, 3888; XPS 8940",120.5,,,,16 Go,"Deux rangs, mémoire sans tampon",,,,,,"Alienware Aurora R10, Aurora R11, Aurora R7, Aurora R8, Aurora R9; Inspiron 3880; OptiPlex 3080, 5080, 7080; Precision 3440 Small Form Factor, 3440 XE Small Form Factor, 3640 Tower, 3640 XE Tower, 5820 Tower; Vostro 3681, 3888, 3901; XPS 8940",,,,,,,,Garantie limitée à vie,,,,,,,,,,,,,,,"DELL AB120717, DELL SNPC5N22C/16G",,,,,,,,,,Module mémoire,,Spécifique au système,DDR4 SDRAM - DIMM 288 broches,Mise à niveau,,3200 MHz (PC4-25600),Non ECC
