id,nom,marque,caracteristiques,prix,Algorithme de chiffrement,Appareils pris en charge,Avertissement sur les couleurs de l'image,Baie compatible,Baies d'extension,Capacité,Caractéristiques,Compatibilité TTA,Configuration requise,Connecteur de lecteur,Conçu pour,Couleur,Couleur du boîtier,Cryptage matériel,Disque dur,Débit de transfert de données,Fonctions,Format,Fourni avec,Garantie du fabricant,Hard Drive Form Factor Compatibility,Interface,Interface prise en charge,Localisation,Matériau du produit,Nbre max. de périphériques de stockage,Poids,Protocole de liaison de données,Source d'alimentation,Type,Type de bus,Type de câblage,Type de mémoire flash NAND,Type de tarification
11789425,SanDisk Creator Phone,SANDISK,SSD - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),167.32,,,,,,1 To,"Imperméable, résistant à la poussière",,,,,,,,,,,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,,,,54 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
7329006,Samsung SSD T7 Shield 1 TB Beige,SAMSUNG,PE1T0K - SSD - chiffré - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - beige,157.37,AES 256 bits,,,,,1 To,Antichoc,,,,,,Beige,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,98.5 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
11518265,KIOXIA EXCERIA PLUS G2,KIOXIA,SSD - chiffré - 1 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - TCG Opal Encryption 2.01,140.05,AES 256 bits,,,,,1 To,3D BiCS Flash,,,,,,,Oui,,10 Gbps (USB 3.2 Gen 2x1),,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,42 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
5737641,Samsung T7 2TB Grey,SAMSUNG,PC2T0T - SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur) - AES 256 bits - gris titan,186.52,AES 256 bits,,,,,2 To,"Dynamic Thermal Guard protection, antichoc, authentification du mot de passe, NVM Express (NVMe), AES 256 bits",,,,,,Gris titan,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 3 ans,,USB 3.2 Gen 2 - USB-C,,,,,58 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
6157652,SanDisk Extreme Portable,SANDISK,SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2 - AES 256 bits,274.78,AES 256 bits,,,,,2 To,"Antipoussière, imperméable",,,,,,,Oui,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 5 ans,,USB 3.2 Gen 2,,"Americas, Europe, Asie Pacifique, Australie, Amérique Latine, Moyen-Orient, Afrique",,,,,,Lecteur à semi-conducteurs - externe (portable),,,,
11771909,SanDisk Extreme Portable,SANDISK,SSD - 1 To - externe (portable) - USB 3.1 Gen 2 (USB-C connecteur) - pour Sony PlayStation 5,189.95,,,,,,1 To,"Antipoussière, imperméable, résistant aux chutes",,,,Sony PlayStation 5,,,,,,,,,Garantie de 5 ans,,USB 3.1 Gen 2 - USB-C,,,,,69.4 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
8644959,Samsung SSD T9 2TB,SAMSUNG,PG2T0B - SSD - chiffré - 2 To - externe (portable) - USB 3.2 Gen 2x2 (USB-C connecteur) - AES 256 bits - noir,264.22,AES 256 bits,,,,,2 To,"Authentification du mot de passe, protection contre les chutes sur béton jusqu'à 3 m",,,,,,Noir,Oui,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2x2 - USB-C,,Europe,,,122 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
6977545,Kingston XS2000,KINGSTON,SSD - 2 To - externe (portable) - USB 3.2 Gen 2x2 (USB-C connecteur),247.16,,,,,,2 To,"Imperméable, antichoc, antipoussière",,,,,,,,,20 Gbps (USB 3.2 Gen 2x2),,,,Garantie de 5 ans,,USB 3.2 Gen 2x2 - USB-C,,,,,28.9 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
11771925,SanDisk Extreme Portable,SANDISK,SSD - 2 To - externe (portable) - USB 3.2 Gen 2 (USB-C connecteur),282.01,,,,,,2 To,"Antipoussière, imperméable, résistant aux chutes",,,,,,,,,"10,0 Gbps (USB 3.2 de 2e génération)",,,,Garantie de 5 ans,,USB 3.2 Gen 2 - USB-C,,,,,69.4 g,,,Lecteur à semi-conducteurs - externe (portable),,,,
7461839,Kingston IronKey Vault Privacy 80,KINGSTON,"SSD - chiffré - 960 Go - externe (portable) - USB 3.2 Gen 1 (USB-C connecteur) - 256-bit AES-XTS, FIPS 197 - Conformité TAA",419.3,"256-bit AES-XTS, FIPS 197",,,,,960 Go,"Fonction d'effacement sécurisé, Master and User Dual Passwords, écran couleur tactile, Lecture seule (protection en écriture) - Mode double, protection contre les attaques BadUSB, règles de mot passe personnalisables, Modes PIN/phrase secrète, Brute-Force Password Attack Protection, verrouillage automatique",Oui,,,,,,Oui,,,,,,Garantie de 3 ans,,USB 3.2 Gen 1 - USB-C,,,,,284.9 g,,Bus USB,Lecteur à semi-conducteurs - externe (portable),,,,
