id,nom,marque,caracteristiques,prix,Affichage,Ajustements,Alimentation,Alimentation fournie,Ancrable,Appareil d'entrée,Appareils intégrés,Avertissement sur les couleurs de l'image,Batterie,Caractéristiques,Certification Microsoft,Certification du logiciel,Classe énergétique,Clavier numérique,Commandes,Compatibilité,Compatibilité TTA,Compatibilité de la taille de l'écran,Compatibilité ordinateur portable,Configuration requise,Connecteur,Connecteur (deuxième extrémité),Connecteurs d'entrée,Contenu de l'emballage,Contenu recyclé du produit,Conçu pour,Couleur,Courant nominal,Destiné à,Dimension Rack,Dimensions d'ordinateur portable prises en charge,Dispositif de pointage,Dispositifs de sécurité,Débit de transfert de données,Effets sonores,Empreinte carbone,Epaisseur,Facteur de forme,Facteur de forme du casque,Fonction de raccourcis clavier,Fonctionne avec Chromebook,Fonctions,Fonctions supplémentaires,Format,Fourni avec,Gamme de couleurs,Garantie du fabricant,Hauteur (unités de rack),Impédance,Inclinaison,Interface,Interface de montage VESA,Interface de station d'accueil,Interfaces vidéo,Jeu,Lavable,Localisation,Localisation et disposition,Longueur,Longueur du câble,Luminosité,Matière du boîtier,Matériau,Matériau du produit,Microphones fournis,Mode de fonctionnement des appareils électriques,Mode de fonctionnement du microphone,Mode de sortie audio,Multipoint,Nbre de touches,Nombre de boutons,Nombre de touches,Nombre de touches spéciales,Nombre inclus,Normes de conformité,Normes environnementales,Panoramique,Performance,Performances,Pistes de la carte ISO,Pivoter,Pliable,Poids,Poids de la charge max.,Positionnement/montage,Processeur,Profondeur réglable,Programme de ventes par le fabricant,Protection,Protocole de liaison de données,Puissance d'entrée max.,Quantité emballée,Rapport de contraste,Revêtement de l'écran,Récepteur sans fil,Réglages de la position de l'écran,Réseaux,Résolution,Résolution native,Rétroéclairage du clavier,Rétroéclairé,Services inclus,Spécifications audio,Stockage,Style de touches,Suppresseur de bruit actif,Suppression du bruit de microphone,Système d'exploitation,Système d'exploitation requis,Taille,Technologie Adaptive-Sync,Technologie de casque,Technologie de charge rapide,Technologie de connectivité,Technologie de détection de mouvements,Technologie du microphone,Technologie sans fil,Temps de réponse,Tension,Tension requise,Type,Type d'emballage,Type d'interface (bus),Type de Produit,Type de contacts,Type de diaphragme,Type de licence,Type de microphone,Type de panneau,Type de prise,Type de rack,Type de tarification,Utilisation recommandée,Webcam intégrée,Éléments de montage
5812085,Logitech Slim Wireless Combo MK470,LOGITECH,Ensemble clavier et souris - sans fil - 2.4 GHz - Français - blanc cassé,59.99,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Blanc cassé,,,,,Souris - sans fil - optique - droitiers et gauchers,,,,,,,,,,,,,,,Garantie de 2 ans,,,,2.4 GHz,,,,,,,Français,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,Nano récepteur sans fil USB,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
7449699,Logitech Signature MK650 Combo for Business,LOGITECH,Ensemble clavier et souris - sans fil - Bluetooth LE - QWERTZ - Allemand - graphite,84.99,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Graphite,,,,,Souris - sans fil,,,,,,,,"Dictée, Emoji, écran de découpage, coupure du microphone, fonction arrière, actualisation, Tab, imprimé, calculatrice, commutateur de langue",Oui,,,,,,Garantie de 2 ans,,,,Bluetooth LE,,,,,,,QWERTZ Allemand,,,,,,,,,,,,,,5,6,,,,,Commutation de sensibilité en temps réel 400 - 4 000 dpi,,,,,,,,,,,,,,,,,Récepteur USB Logitech Logi Bolt,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
11841004,HP,HP INC,Clavier - rétroéclairé - USB - AZERTY - Français - commutateur : HyperX Red - noir,144.0,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Noir,,,,,,,,,,,,,Multimédia,,,,,,,Garantie de 2 ans,,,,USB,,,,Oui,,,AZERTY Français,,,,,,,,,,,,,,,,,,,,,,,,,1.075 kg,,,,,,,,,,,,,,,,,,"RGB / 16,7 millions de couleurs",,,,,,,,,,,,,Filaire,,,,,,,,,,,HyperX Red,,,,,,,,,,
5566365,CHERRY STREAM CLAVIER,CHERRY,Clavier - USB - Français - commutateur : CHERRY SX - blanc grisé,31.08,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Blanc grisé,,,,,,,,,,,,,"E-mail, volume, touche secret",,,,,,,Garantie de 2 ans,,,,USB,,,,,,,Français,,,,,,,,,,,,105,,,10,,,Blue Angel,,,,,,,910 g,,,,,,Résistant aux éclaboussures,,,,,,,,,,,,,,,,,,,,,,,,,Filaire,,,,,,,,,,,CHERRY SX,,,,,,,,,,
11841028,HP,HP INC,"Tapis de souris - grand - noir - pour HP 250 G9; Laptop 15, 15s, 17; Pavilion 15; Portable 24, 27",24.0,,,,,,,,,,,,,,,,,,,,,,,,,,"HP 250 G9; Laptop 15, 15s, 17; Pavilion 15; Portable 24, 27",Noir,,,,,,,,,,,,,,,,,,,,Garantie de 2 ans,,,,,,,,,,,,,,,,,"Caoutchouc, chiffon, tissé",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand,,,,,,,,,,,,,,,,,,,,,,,,,
10400916,Clavier surface Pro Flex SC French France Comm Black,MICROSOFT,"Microsoft Surface Pro Flex Keyboard - Clavier - avec pavé tactile, accéléromètre, plateau de rangement et de chargement du Surface Slim Pen 2 - rétroéclairé - sans fil - Bluetooth LE - AZERTY - Français - noir",350.74,,,,,,,"Pavé tactile, accéléromètre, plateau de rangement et de chargement du Surface Slim Pen 2",,,,,,,,,,,,,,,,,,,,Noir,,,,,,,,,,,,,"Luminosité, raccourcis Windows, contrôle des médias, coupure du microphone, clé Copilot",,,,,,,1 an de garantie,,,,Bluetooth LE,,,,,,,AZERTY Français,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
7754380,Dell Multi-Device KB700,DELL,"Device KB700 - Clavier - sans fil - 2.4 GHz, Bluetooth 5.0 - AZERTY - Français - gris - avec 3 years NBD Advance Exchange",57.5,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Gris,,,,,,,,,,,,,,,,,,,,,,,,"2.4 GHz, Bluetooth 5.0",,,,,,,AZERTY Français,,,,,,,,,,,,,,,,,,,,,,,,,654 g,,,,,,,,,,,,Récepteur sans fil USB,,,,,,,3 years NBD Advance Exchange,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
9725601,Mobilis Origine,MOBILIS,"Clavier et étui (étui de protection folio) - sans fil - Bluetooth - AZERTY - Français - noir clavier, noir étui",53.33,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noir clavier, noir étui",,,,,,,,,,,,,,,,,,,,Garantie de 2 ans,,,,Bluetooth,,,,,,,AZERTY Français,,,,Cuir artificiel,,,,,,,,,,,,,,,,,,,,,504 g,,,,,,Protection contre les chutes,,,,,,,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
6311959,HP 230 Ensemble clavier et souris - sans fil -  Noir,HP INC,"Ensemble clavier et souris - sans fil - Français - Noir pour HP 21, 22, 24, 27, Pavilion 24, 27, TP01, Portable 14, 15",45.0,,,,,,,,,,,,,,,,,,,,,,,,,,"HP 21, 22, 24, 27; Pavilion 24, 27, TP01; Pavilion Laptop 14, 15",,,,,,Souris - sans fil,,,,,,,,,,,,,,,Garantie de 2 ans,,,,,,,,,,,Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
2362215,Logitech Wireless Keyboard K270 - Français,LOGITECH,Clavier - sans fil - 2.4 GHz - françaisclavier francais,39.99,,,,,,,,,,,Compatible with Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Exploration internet, multimédia, e-mail, volume, lecture/pause",,"Récepteur Logitech Unifying, résistant aux liquides",,,,,,,,,2.4 GHz,,,,,,,Français,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,Récepteur sans fil USB,,,,,,,,,,,,,,,,,,,Sans fil,,,,,,,,,,,,,,,,,,,,,
